,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3-N2i,pHO,CODo,NH3-NO,TempO,pHMBR,CODMBR
Q2i,1.0,0.4034779987747125,-0.2525061319153873,-0.06961114951009875,0.29630788663593355,-0.23724656235083658,0.14419767371802314,-0.1535935901434041,-0.3028407561984499,-0.09915005982141258,0.16292923464270295,-0.0783376821414346,-0.2962472658814628
Q2mbr,0.4034779987747125,1.0,-0.16881128522946948,-0.21799758376107106,0.10286530893179778,-0.21272736100032982,0.09147035887834415,-0.11118134494012795,-0.14139297468624026,0.041256610330642186,0.15835489009634515,-0.08001883472388562,-0.17464519967930772
P,-0.2525061319153873,-0.16881128522946948,1.0,-0.38719769560505735,-0.2643389756144527,0.4072080856474388,-0.41285403968489603,0.12909879121697435,0.6336858708129925,0.19987861220682035,0.12367579834667124,0.03018381261710311,0.6162066325851522
DO,-0.06961114951009875,-0.21799758376107106,-0.38719769560505735,1.0,0.12671258662620433,-0.32989934364589624,0.07499043262092152,-0.16521140822719937,-0.4467277425174236,-0.2731580486223488,-0.23810780136177503,-0.12544161182405608,-0.39996930219591514
pH2i,0.29630788663593355,0.10286530893179778,-0.2643389756144527,0.12671258662620433,1.0,-0.46081848245091056,0.13047821563037357,-0.23018854836325914,-0.4918972645544193,-0.0857168625744729,0.15608365400586813,-0.18020275934576216,-0.5382175289407304
COD2i,-0.23724656235083658,-0.21272736100032982,0.4072080856474388,-0.32989934364589624,-0.46081848245091056,1.0,-0.06284873096198008,0.5360514401084776,0.7846337395689432,0.15270850202787578,-0.02967385109366643,0.3818399750477959,0.7734372233750257
NH3-N2i,0.14419767371802314,0.09147035887834415,-0.41285403968489603,0.07499043262092152,0.13047821563037357,-0.06284873096198008,1.0,0.010729220920836734,-0.31168252484380504,0.019223574184479363,-0.018867983463393963,0.08958845866174259,-0.3407600342391703
pHO,-0.1535935901434041,-0.11118134494012795,0.12909879121697435,-0.16521140822719937,-0.23018854836325914,0.5360514401084776,0.010729220920836734,1.0,0.5078386778570514,0.004880474655767294,-0.12295267264653402,0.8475667787820012,0.4814023197209762
CODo,-0.3028407561984499,-0.14139297468624026,0.6336858708129925,-0.4467277425174236,-0.4918972645544193,0.7846337395689432,-0.31168252484380504,0.5078386778570514,1.0,0.27387897111350695,0.02504264566680935,0.27286869909144273,0.9269604949945018
NH3-NO,-0.09915005982141258,0.041256610330642186,0.19987861220682035,-0.2731580486223488,-0.0857168625744729,0.15270850202787578,0.019223574184479363,0.004880474655767294,0.27387897111350695,1.0,0.19188338746535322,0.007571801498617594,0.2225352209188997
TempO,0.16292923464270295,0.15835489009634515,0.12367579834667124,-0.23810780136177503,0.15608365400586813,-0.02967385109366643,-0.018867983463393963,-0.12295267264653402,0.02504264566680935,0.19188338746535322,1.0,-0.1115428518613705,-0.023438740045851614
pHMBR,-0.0783376821414346,-0.08001883472388562,0.03018381261710311,-0.12544161182405608,-0.18020275934576216,0.3818399750477959,0.08958845866174259,0.8475667787820012,0.27286869909144273,0.007571801498617594,-0.1115428518613705,1.0,0.2503757145530404
CODMBR,-0.2962472658814628,-0.17464519967930772,0.6162066325851522,-0.39996930219591514,-0.5382175289407304,0.7734372233750257,-0.3407600342391703,0.4814023197209762,0.9269604949945018,0.2225352209188997,-0.023438740045851614,0.2503757145530404,1.0
